instruction,price,side,qty,time
newOrder,21692,1,278,1693334349
cancel,21547,,,1693334613
newOrder,21605,0,278,1693334628
newOrder,21750,1,278,1693334628
cancel,21605,,,1693334933
cancel,21750,,,1693334933
newOrder,21580,0,278,1693335021
newOrder,21725,1,278,1693335021
cancel,21580,,,1693335522
cancel,21725,,,1693335522
newOrder,21528,0,279,1693335545
newOrder,21672,1,279,1693335545
cancel,21528,,,1693335549
cancel,21672,,,1693335549
newOrder,21528,0,279,1693335567
newOrder,21673,1,279,1693335567
cancel,21673,,,1693336132
newOrder,21568,0,278,1693336157
newOrder,21712,1,278,1693336157
cancel,21568,,,1693336734
cancel,21712,,,1693336734
newOrder,21578,0,278,1693336764
newOrder,21723,1,278,1693336764
cancel,21723,,,1693337348
cancel,21723,,,1693337348
