instruction,price,side,qty,time
cancel,606,,,1683832340
cancel,749,,,1683832340
newOrder,376,0,18,1683832372
newOrder,605,1,18,1683832372
cancel,376,,,1683832940
cancel,605,,,1683832940
newOrder,377,0,18,1683832973
newOrder,605,1,18,1683832973
cancel,377,,,1683833540
cancel,605,,,1683833540
newOrder,375,0,17,1683833573
newOrder,605,1,17,1683833573
newOrder,375,0,6,1683833573
cancel,605,,,1683833789
newOrder,371,0,16,1683833800
newOrder,606,1,16,1683833800
newOrder,367,0,28,1683833800
cancel,367,,,1683833883
cancel,606,,,1683833883
newOrder,367,0,15,1683833891
newOrder,606,1,15,1683833891
newOrder,355,0,26,1683833891
cancel,355,,,1683833908
cancel,606,,,1683833908
newOrder,363,0,14,1683833914
newOrder,607,1,14,1683833914
newOrder,361,0,16,1683833914
cancel,361,,,1683834141
cancel,363,,,1683834141
cancel,607,,,1683834141
newOrder,362,0,14,1683834174
newOrder,605,1,14,1683834174
cancel,362,,,1683834741
cancel,605,,,1683834741
newOrder,362,0,14,1683834770
newOrder,605,1,14,1683834770
cancel,362,,,1683835341
cancel,605,,,1683835341
newOrder,361,0,14,1683835376
newOrder,605,1,14,1683835376
cancel,361,,,1683835941
cancel,605,,,1683835941
newOrder,360,0,14,1683835972
newOrder,605,1,14,1683835972
newOrder,345,0,21,1683835972
cancel,345,,,1683836541
cancel,360,,,1683836541
cancel,605,,,1683836541
newOrder,359,0,13,1683836572
newOrder,605,1,13,1683836572
newOrder,345,0,63,1683836572
cancel,345,,,1683837141
cancel,359,,,1683837141
cancel,605,,,1683837141
newOrder,360,0,13,1683837172
newOrder,605,1,13,1683837172
newOrder,345,0,67,1683837172
cancel,345,,,1683837741
cancel,360,,,1683837741
cancel,605,,,1683837741
newOrder,361,0,14,1683837775
newOrder,605,1,14,1683837775
newOrder,345,0,29,1683837775
cancel,345,,,1683838341
cancel,361,,,1683838341
cancel,605,,,1683838341
newOrder,360,0,13,1683838371
newOrder,605,1,13,1683838371
newOrder,345,0,52,1683838371
cancel,345,,,1683838941
cancel,360,,,1683838941
cancel,605,,,1683838941
newOrder,360,0,13,1683838973
newOrder,605,1,13,1683838973
newOrder,345,0,48,1683838973
cancel,345,,,1683839541
cancel,360,,,1683839541
cancel,605,,,1683839541
newOrder,362,0,14,1683839571
newOrder,605,1,14,1683839571
newOrder,345,0,69,1683839571
cancel,345,,,1683840142
cancel,362,,,1683840142
cancel,605,,,1683840142
newOrder,362,0,14,1683840173
newOrder,605,1,14,1683840173
newOrder,345,0,31,1683840173
cancel,345,,,1683840741
cancel,362,,,1683840741
cancel,605,,,1683840741
newOrder,362,0,14,1683840773
newOrder,605,1,14,1683840773
newOrder,345,0,67,1683840773
cancel,345,,,1683841341
cancel,362,,,1683841341
cancel,605,,,1683841341
newOrder,363,0,14,1683841372
newOrder,605,1,14,1683841372
newOrder,345,0,25,1683841372
cancel,345,,,1683841941
cancel,363,,,1683841941
cancel,605,,,1683841941
newOrder,364,0,14,1683841972
newOrder,605,1,14,1683841972
newOrder,345,0,11,1683841972
cancel,345,,,1683842541
cancel,364,,,1683842541
cancel,605,,,1683842541
newOrder,365,0,15,1683842574
newOrder,605,1,15,1683842574
newOrder,345,0,37,1683842574
cancel,345,,,1683843141
cancel,365,,,1683843141
cancel,605,,,1683843141
newOrder,365,0,15,1683843171
newOrder,605,1,15,1683843171
cancel,365,,,1683843741
cancel,605,,,1683843741
newOrder,367,0,15,1683843772
newOrder,605,1,15,1683843772
cancel,367,,,1683844341
cancel,605,,,1683844341
newOrder,366,0,15,1683844371
newOrder,605,1,15,1683844371
cancel,366,,,1683844941
cancel,605,,,1683844941
newOrder,365,0,14,1683844972
newOrder,605,1,14,1683844972
newOrder,365,0,3,1683844972
cancel,365,,,1683845541
cancel,365,,,1683845541
cancel,605,,,1683845541
newOrder,364,0,14,1683845571
newOrder,605,1,14,1683845571
cancel,364,,,1683846741
cancel,605,,,1683846741
newOrder,363,0,14,1683846770
newOrder,605,1,14,1683846770
cancel,363,,,1683847340
cancel,605,,,1683847340
newOrder,364,0,14,1683847371
newOrder,605,1,14,1683847371
cancel,364,,,1683847941
cancel,605,,,1683847941
newOrder,365,0,14,1683847972
newOrder,605,1,14,1683847972
cancel,365,,,1683848541
cancel,605,,,1683848541
newOrder,369,0,16,1683848572
newOrder,605,1,16,1683848572
cancel,369,,,1683849140
cancel,605,,,1683849140
newOrder,370,0,16,1683849172
newOrder,605,1,16,1683849172
newOrder,345,0,60,1683849172
cancel,345,,,1683849741
cancel,370,,,1683849741
cancel,605,,,1683849741
newOrder,370,0,16,1683849773
newOrder,605,1,16,1683849773
newOrder,345,0,68,1683849773
cancel,345,,,1683850340
cancel,370,,,1683850340
cancel,605,,,1683850340
newOrder,369,0,15,1683850370
newOrder,605,1,15,1683850370
cancel,369,,,1683850944
cancel,605,,,1683850944
newOrder,369,0,15,1683850977
newOrder,605,1,15,1683850977
cancel,369,,,1683851540
cancel,605,,,1683851540
newOrder,369,0,15,1683851573
newOrder,605,1,15,1683851573
cancel,369,,,1683852141
cancel,605,,,1683852141
newOrder,369,0,15,1683852171
newOrder,605,1,15,1683852171
cancel,369,,,1683852741
cancel,605,,,1683852741
newOrder,369,0,15,1683852773
newOrder,605,1,15,1683852773
cancel,369,,,1683853342
cancel,605,,,1683853342
newOrder,370,0,16,1683853371
newOrder,605,1,16,1683853371
cancel,370,,,1683853941
cancel,605,,,1683853941
newOrder,372,0,16,1683853971
newOrder,605,1,16,1683853971
cancel,372,,,1683854540
cancel,605,,,1683854540
newOrder,370,0,15,1683854573
newOrder,605,1,15,1683854573
cancel,370,,,1683855140
cancel,605,,,1683855140
newOrder,369,0,15,1683855172
newOrder,605,1,15,1683855172
cancel,369,,,1683855739
cancel,605,,,1683855739
newOrder,368,0,15,1683855777
newOrder,605,1,15,1683855777
cancel,368,,,1683856341
cancel,605,,,1683856341
newOrder,367,0,15,1683856370
newOrder,605,1,15,1683856370
cancel,367,,,1683856944
cancel,605,,,1683856944
newOrder,366,0,14,1683856991
newOrder,605,1,14,1683856991
cancel,366,,,1683857540
cancel,605,,,1683857540
newOrder,366,0,14,1683857572
newOrder,605,1,14,1683857572
cancel,366,,,1683858141
cancel,605,,,1683858141
newOrder,366,0,14,1683858169
newOrder,605,1,14,1683858169
cancel,366,,,1683858740
cancel,605,,,1683858740
newOrder,366,0,15,1683858770
newOrder,605,1,15,1683858770
cancel,366,,,1683859340
cancel,605,,,1683859340
newOrder,365,0,14,1683859371
newOrder,605,1,14,1683859371
cancel,365,,,1683859940
cancel,605,,,1683859940
newOrder,365,0,14,1683859971
newOrder,605,1,14,1683859971
cancel,605,,,1683860180
newOrder,361,0,13,1683860189
newOrder,606,1,13,1683860189
newOrder,362,0,3,1683860189
cancel,361,,,1683860541
cancel,362,,,1683860541
cancel,606,,,1683860541
newOrder,362,0,13,1683860572
newOrder,605,1,13,1683860572
cancel,362,,,1683861141
cancel,605,,,1683861141
newOrder,361,0,13,1683861171
newOrder,605,1,13,1683861171
cancel,361,,,1683861741
cancel,605,,,1683861741
newOrder,362,0,13,1683861771
newOrder,605,1,13,1683861771
cancel,362,,,1683862340
cancel,605,,,1683862340
newOrder,363,0,14,1683862371
newOrder,605,1,14,1683862371
cancel,363,,,1683862941
cancel,605,,,1683862941
newOrder,363,0,14,1683862972
newOrder,605,1,14,1683862972
